22,121,2,11,[2]
23,128,3,18,[2]
33,132,3,12,[3]
33,231,3,21,[3]
34,137,4,17,[3]
34,23a,4,2a,[3]
35,13c,5,1c,[3]
44,143,4,13,[4]
44,242,4,22,[4]
44,341,4,31,[4]
45,147,5,17,[4]
45,249,5,29,[4]
45,34b,5,3b,[4]
46,14b,6,1b,[4]
55,154,5,14,[5]
55,253,5,23,[5]
55,352,5,32,[5]
55,451,5,41,[5]
65,162,5,12,[6]
66,165,6,15,[6]
66,264,6,24,[6]
66,363,6,33,[6]
66,462,6,42,[6]
66,561,6,51,[6]
67,168,7,18,[6]
67,269,7,29,[6]
67,36a,7,3a,[6]
67,46b,7,4b,[6]
67,56c,7,5c,[6]
68,16b,8,1b,[6]
77,176,7,16,[7]
77,275,7,25,[7]
77,374,7,34,[7]
77,473,7,43,[7]
77,572,7,52,[7]
77,671,7,61,[7]
86,182,6,12,[8]
87,282,7,22,[8]
88,187,8,17,[8]
88,286,8,26,[8]
88,385,8,35,[8]
88,484,8,44,[8]
88,583,8,53,[8]
88,682,8,62,[8]
88,781,8,71,[8]
89,28a,9,2a,[8]
89,48b,9,4b,[8]
89,68c,9,6c,[8]
8a,18c,a,1c,[8]
96,191,6,11,[9]
98,391,8,31,[9]
99,198,9,18,[9]
99,297,9,27,[9]
99,396,9,36,[9]
99,495,9,45,[9]
99,594,9,54,[9]
99,693,9,63,[9]
99,792,9,72,[9]
99,891,9,81,[9]
9a,39b,a,3b,[9]
9a,69c,a,6c,[9]
aa,1a9,a,19,[a]
aa,2a8,a,28,[a]
aa,3a7,a,37,[a]
aa,4a6,a,46,[a]
aa,5a5,a,55,[a]
aa,6a4,a,64,[a]
aa,7a3,a,73,[a]
aa,8a2,a,82,[a]
aa,9a1,a,91,[a]
ab,5ac,b,5c,[a]
bb,1ba,b,1a,[b]
bb,2b9,b,29,[b]
bb,3b8,b,38,[b]
bb,4b7,b,47,[b]
bb,5b6,b,56,[b]
bb,6b5,b,65,[b]
bb,7b4,b,74,[b]
bb,8b3,b,83,[b]
bb,9b2,b,92,[b]
bb,ab1,b,a1,[b]
c7,1c1,7,11,[c]
c8,1c3,8,13,[c]
c9,1c5,9,15,[c]
c9,2c1,9,21,[c]
ca,1c7,a,17,[c]
ca,2c4,a,24,[c]
ca,3c1,a,31,[c]
cb,1c9,b,19,[c]
cb,2c7,b,27,[c]
cb,3c5,b,35,[c]
cb,4c3,b,43,[c]
cb,5c1,b,51,[c]
cc,1cb,c,1b,[c]
cc,2ca,c,2a,[c]
cc,3c9,c,39,[c]
cc,4c8,c,48,[c]
cc,5c7,c,57,[c]
cc,6c6,c,66,[c]
cc,7c5,c,75,[c]
cc,8c4,c,84,[c]
cc,9c3,c,93,[c]
cc,ac2,c,a2,[c]
cc,bc1,c,b1,[c]
101,202,11,22,[0]
101,303,11,33,[0]
101,404,11,44,[0]
101,505,11,55,[0]
101,606,11,66,[0]
101,707,11,77,[0]
101,808,11,88,[0]
101,909,11,99,[0]
101,a0a,11,aa,[0]
101,b0b,11,bb,[0]
101,c0c,11,cc,[0]
102,204,12,24,[0]
102,306,12,36,[0]
102,408,12,48,[0]
102,50a,12,5a,[0]
102,60c,12,6c,[0]
103,206,13,26,[0]
103,309,13,39,[0]
103,40c,13,4c,[0]
104,208,14,28,[0]
104,30c,14,3c,[0]
105,20a,15,2a,[0]
106,20c,16,2c,[0]
111,210c,11,20c,[1]
111,310b,11,30b,[1]
111,410a,11,40a,[1]
111,5109,11,509,[1]
111,6108,11,608,[1]
111,7107,11,707,[1]
111,8106,11,806,[1]
111,9105,11,905,[1]
111,a104,11,a04,[1]
111,b103,11,b03,[1]
111,c102,11,c02,[1]
112,212b,12,22b,[1]
112,3139,12,339,[1]
112,4147,12,447,[1]
112,5155,12,555,[1]
112,6163,12,663,[1]
112,7171,12,771,[1]
112,817c,12,87c,[1]
112,918a,12,98a,[1]
112,a198,12,a98,[1]
112,b1a6,12,ba6,[1]
112,c1b4,12,cb4,[1]
113,214a,13,24a,[1]
113,3167,13,367,[1]
113,4184,13,484,[1]
113,51a1,13,5a1,[1]
113,61bb,13,6bb,[1]
114,2169,14,269,[1]
114,3195,14,395,[1]
114,41c1,14,4c1,[1]
115,2188,15,288,[1]
115,31c3,15,3c3,[1]
116,181a,6,8a,"[1, 1]"
116,21a7,16,2a7,[1]
117,1b18,7,b8,"[1, 1]"
117,1c11,7,c1,"[1, 1]"
117,21c6,17,2c6,[1]
118,581,1,5,"[1, 8]"
11b,6b1,1,6,"[1, b]"
122,821,12,81,[2]
122,231b,2,3b,"[1, 2]"
123,828,13,88,[2]
124,281c,4,8c,"[1, 2]"
125,219,5,9,"[1, 2]"
125,152c,5,5c,"[1, 2]"
125,1623,5,63,"[1, 2]"
125,2c15,5,c5,"[1, 2]"
126,172b,6,7b,"[1, 2]"
127,1742,1,14,"[2, 7]"
128,1c2c,8,cc,"[1, 2]"
132,231,12,21,[3]
132,315,2,5,"[1, 3]"
132,113a,2,1a,"[1, 3]"
132,3516,2,56,"[1, 3]"
133,632,13,62,[3]
133,b31,13,b1,[3]
134,31a,4,a,"[1, 3]"
134,637,14,67,[3]
134,b3a,14,ba,[3]
134,1433,4,43,"[1, 3]"
134,3c17,4,c7,"[1, 3]"
135,63c,15,6c,[3]
136,1735,6,75,"[1, 3]"
137,23a,17,2a,[3]
138,1b39,8,b9,"[1, 3]"
138,1c32,8,c2,"[1, 3]"
143,242,13,22,[4]
143,341,13,31,[4]
144,543,14,53,[4]
144,942,14,92,[4]
144,1041,14,101,[4]
145,346,15,36,[4]
145,547,15,57,[4]
145,748,15,78,[4]
145,949,15,99,[4]
145,b4a,15,ba,[4]
145,104b,15,10b,[4]
145,124c,15,12c,[4]
146,54b,16,5b,[4]
147,249,17,29,[4]
147,34b,17,3b,[4]
14c,431c,1,31,"[4, c]"
151,531a,1,3a,"[1, 5]"
153,51b,3,b,"[1, 5]"
153,1257,3,27,"[1, 5]"
153,5c19,3,c9,"[1, 5]"
154,253,14,23,[5]
154,352,14,32,[5]
154,451,14,41,[5]
156,1654,6,64,"[1, 5]"
157,1851,7,81,"[1, 5]"
159,1b5a,9,ba,"[1, 5]"
159,1c53,9,c3,"[1, 5]"
165,264,15,24,[6]
165,363,15,33,[6]
165,462,15,42,[6]
165,561,15,51,[6]
166,465,16,45,[6]
166,764,16,74,[6]
166,a63,16,a3,[6]
166,1062,16,102,[6]
166,1361,16,131,[6]
167,468,17,48,[6]
167,769,17,79,[6]
167,a6a,17,aa,[6]
167,106b,17,10b,[6]
167,136c,17,13c,[6]
168,269,18,29,[6]
168,36a,18,3a,[6]
168,46b,18,4b,[6]
168,56c,18,5c,[6]
173,1274,3,24,"[1, 7]"
175,1474,5,44,"[1, 7]"
176,275,16,25,[7]
176,374,16,34,[7]
176,473,16,43,[7]
176,572,16,52,[7]
176,671,16,61,[7]
17a,1b7b,a,bb,"[1, 7]"
17a,1c74,a,c4,"[1, 7]"
181,815,1,5,"[1, 8]"
182,81a,2,a,"[1, 8]"
182,1185,2,15,"[1, 8]"
182,2188,2,28,"[1, 8]"
182,318b,2,3b,"[1, 8]"
187,286,17,26,[8]
187,385,17,35,[8]
187,484,17,44,[8]
187,583,17,53,[8]
187,682,17,62,[8]
187,781,17,71,[8]
187,1685,7,65,"[1, 8]"
188,686,18,66,[8]
188,b84,18,b4,[8]
188,1382,18,132,[8]
189,68a,19,6a,[8]
189,b8b,19,bb,[8]
189,138c,19,13c,[8]
198,297,18,27,[9]
198,396,18,36,[9]
198,495,18,45,[9]
198,594,18,54,[9]
198,693,18,63,[9]
198,792,18,72,[9]
198,891,18,81,[9]
199,896,19,86,[9]
199,1293,19,123,[9]
19a,89b,1a,8b,[9]
19a,129c,1a,12c,[9]
19b,1b9c,b,bc,"[1, 9]"
19b,1c95,b,c5,"[1, 9]"
1a9,2a8,19,28,[a]
1a9,3a7,19,37,[a]
1a9,4a6,19,46,[a]
1a9,5a5,19,55,[a]
1a9,6a4,19,64,[a]
1a9,7a3,19,73,[a]
1a9,8a2,19,82,[a]
1a9,9a1,19,91,[a]
1aa,ca5,1a,c5,[a]
1ab,cac,1b,cc,[a]
1b1,b16,1,6,"[1, b]"
1b2,b1c,2,c,"[1, b]"
1b2,11b3,2,13,"[1, b]"
1b2,21b4,2,24,"[1, b]"
1b2,31b5,2,35,"[1, b]"
1b2,41b6,2,46,"[1, b]"
1b2,51b7,2,57,"[1, b]"
1b2,61b8,2,68,"[1, b]"
1b2,71b9,2,79,"[1, b]"
1b2,81ba,2,8a,"[1, b]"
1b2,91bb,2,9b,"[1, b]"
1b2,a1bc,2,ac,"[1, b]"
1b2,bc1b,2,cb,"[1, b]"
1b3,11bb,3,1b,"[1, b]"
1b4,12b8,4,28,"[1, b]"
1b5,13b6,5,36,"[1, b]"
1b6,14b5,6,45,"[1, b]"
1b7,15b5,7,55,"[1, b]"
1b7,b617,1,61,"[7, b]"
1b8,16b6,8,66,"[1, b]"
1b9,17b8,9,78,"[1, b]"
1ba,2b9,1a,29,[b]
1ba,3b8,1a,38,[b]
1ba,4b7,1a,47,[b]
1ba,5b6,1a,56,[b]
1ba,6b5,1a,65,[b]
1ba,7b4,1a,74,[b]
1ba,8b3,1a,83,[b]
1ba,9b2,1a,92,[b]
1ba,ab1,1a,a1,[b]
1ba,18bb,a,8b,"[1, b]"
1ba,19b3,a,93,"[1, b]"
1bc,1cb6,c,c6,"[1, b]"
1c5,2c1,15,21,[c]
1c7,2c4,17,24,[c]
1c7,3c1,17,31,[c]
1c8,3c3,18,33,[c]
1c9,2c7,19,27,[c]
1c9,3c5,19,35,[c]
1c9,4c3,19,43,[c]
1c9,5c1,19,51,[c]
1ca,3c7,1a,37,[c]
1ca,5c4,1a,54,[c]
1ca,7c1,1a,71,[c]
1cb,2ca,1b,2a,[c]
1cb,3c9,1b,39,[c]
1cb,4c8,1b,48,[c]
1cb,5c7,1b,57,[c]
1cb,6c6,1b,66,[c]
1cb,7c5,1b,75,[c]
1cb,8c4,1b,84,[c]
1cb,9c3,1b,93,[c]
1cb,ac2,1b,a2,[c]
1cb,bc1,1b,b1,[c]
1cc,3cb,1c,3b,[c]
1cc,5ca,1c,5a,[c]
1cc,7c9,1c,79,[c]
1cc,9c8,1c,98,[c]
1cc,bc7,1c,b7,[c]
1cc,10c6,1c,106,[c]
1cc,12c5,1c,125,[c]
1cc,14c4,1c,144,[c]
1cc,16c3,1c,163,[c]
1cc,18c2,1c,182,[c]
1cc,1ac1,1c,1a1,[c]
201,402,21,42,[0]
201,603,21,63,[0]
201,804,21,84,[0]
201,a05,21,a5,[0]
201,c06,21,c6,[0]
201,1107,21,117,[0]
201,1308,21,138,[0]
201,1509,21,159,[0]
201,170a,21,17a,[0]
201,190b,21,19b,[0]
201,1b0c,21,1bc,[0]
202,303,22,33,[0]
202,404,22,44,[0]
202,505,22,55,[0]
202,606,22,66,[0]
202,707,22,77,[0]
202,808,22,88,[0]
202,909,22,99,[0]
202,a0a,22,aa,[0]
202,b0b,22,bb,[0]
202,c0c,22,cc,[0]
203,406,23,46,[0]
203,609,23,69,[0]
203,80c,23,8c,[0]
204,306,24,36,[0]
204,408,24,48,[0]
204,50a,24,5a,[0]
204,60c,24,6c,[0]
205,40a,25,4a,[0]
206,309,26,39,[0]
206,40c,26,4c,[0]
208,30c,28,3c,[0]
213,531,2,5,"[1, 3]"
214,71b,24,7b,[1]
215,3531,2,33,"[1, 5]"
216,1327,6,37,"[1, 2]"
216,2713,6,73,"[1, 2]"
217,4741,2,44,"[1, 7]"
218,a81,2,a,"[1, 8]"
218,2a16,8,a6,"[1, 2]"
219,152c,9,5c,"[1, 2]"
219,1623,9,63,"[1, 2]"
219,2c15,9,c5,"[1, 2]"
21a,162c,a,6c,"[1, 2]"
21b,cb1,2,c,"[1, b]"
21c,1206,1c,106,[2]
21c,1927,c,97,"[1, 2]"
221,1217,21,117,[2]
221,3206,21,306,[2]
222,1221,2,11,"[2, 2]"
222,1221,22,121,[2]
222,321c,22,31c,[2]
222,421b,22,41b,[2]
222,521a,22,51a,[2]
222,6219,22,619,[2]
222,7218,22,718,[2]
222,8217,22,817,[2]
222,9216,22,916,[2]
222,a215,22,a15,[2]
222,b214,22,b14,[2]
222,c213,22,c13,[2]
223,1228,3,18,"[2, 2]"
223,1228,23,128,[2]
223,3235,23,335,[2]
223,423a,23,43a,[2]
223,5242,23,542,[2]
223,6247,23,647,[2]
223,724c,23,74c,[2]
223,8254,23,854,[2]
223,9259,23,959,[2]
223,a261,23,a61,[2]
223,b266,23,b66,[2]
223,c26b,23,c6b,[2]
224,1232,24,132,[2]
224,324b,24,34b,[2]
224,4259,24,459,[2]
224,5267,24,567,[2]
224,6275,24,675,[2]
224,7283,24,783,[2]
224,8291,24,891,[2]
224,929c,24,99c,[2]
224,a2aa,24,aaa,[2]
224,b2b8,24,bb8,[2]
224,c2c6,24,cc6,[2]
225,1239,25,139,[2]
225,3264,25,364,[2]
225,4278,25,478,[2]
225,528c,25,58c,[2]
225,62a3,25,6a3,[2]
225,72b7,25,7b7,[2]
225,82cb,25,8cb,[2]
226,562,2,5,"[2, 6]"
