13,32,1,2,[3]
22,121,2,11,[2]
23,1232,3,132,[2]
33,132,3,12,[3]
33,231,3,21,[3]
101,202,11,22,[0]
101,303,11,33,[0]
102,1203,2,23,"[0, 1]"
103,1302,1,12,"[0, 3]"
111,2103,11,203,[1]
111,3102,11,302,[1]
112,313,12,33,[1]
112,2122,12,222,[1]
113,232,11,22,[3]
113,3212,1,22,"[1, 3]"
121,1023,1,03,"[1, 2]"
121,2112,1,12,"[1, 2]"
122,213,2,3,"[1, 2]"
122,1123,2,13,"[1, 2]"
122,2312,2,32,"[1, 2]"
131,322,11,22,[3]
132,231,12,21,[3]
132,1232,3,23,"[1, 2]"
133,332,1,2,"[3, 3]"
133,332,13,32,[3]
133,1131,13,111,[3]
133,2322,13,222,[3]
201,1002,21,102,[0]
201,1203,21,123,[0]
201,3012,21,312,[0]
202,303,22,33,[0]
203,1012,23,112,[0]
211,1022,1,02,"[1, 2]"
212,321,2,3,"[1, 2]"
213,1032,21,102,[3]
213,1123,3,13,"[1, 2]"
213,2312,3,32,"[1, 2]"
221,1102,2,10,"[1, 2]"
222,1221,2,11,"[2, 2]"
222,1221,22,121,[2]
222,3213,22,313,[2]
231,1122,3,12,"[1, 2]"
233,1132,23,112,[3]
233,2031,23,201,[3]
233,3223,2,22,"[3, 3]"
301,1202,31,122,[0]
301,2103,31,213,[0]
302,3201,2,21,"[0, 3]"
312,2013,32,203,[1]
313,1232,31,122,[3]
313,2122,33,222,[1]
321,1302,21,102,[3]
323,1312,23,112,[3]
323,2301,23,201,[3]
331,1322,31,122,[3]
331,2313,31,213,[3]
332,1131,32,111,[3]
332,2322,32,222,[3]
333,1332,3,12,"[3, 3]"
333,1332,33,132,[3]
333,2331,3,21,"[3, 3]"
333,2331,33,231,[3]
1001,2002,11,22,"[0, 0]"
1001,2002,101,202,[0]
1001,3003,11,33,"[0, 0]"
1001,3003,101,303,[0]
1002,1203,102,123,[0]
1002,3012,102,312,[0]
1003,2012,103,212,[0]
1003,3021,103,321,[0]
1011,2022,111,222,[0]
1011,3033,111,333,[0]
1012,1221,10,12,"[1, 2]"
1012,3102,1,3,"[0, 1, 2]"
1012,3102,10,30,"[1, 2]"
1013,2032,11,22,"[0, 3]"
1013,2032,113,232,[0]
1013,2032,101,202,[3]
1021,2102,1,2,"[0, 1, 2]"
1021,2102,01,02,"[1, 2]"
1021,2102,10,20,"[1, 2]"
1022,2321,102,231,[2]
1023,2112,03,12,"[1, 2]"
1032,2033,12,23,"[0, 3]"
1033,2132,103,212,[3]
1033,3231,103,321,[3]
1101,2202,111,222,[0]
1101,3303,111,333,[0]
1102,3031,12,33,"[0, 1]"
1112,3113,12,33,"[1, 1]"
1112,3113,112,313,[1]
1113,2232,111,222,[3]
1122,1311,22,31,"[1, 1]"
1123,2312,1,2,"[1, 2, 3]"
1123,2312,13,32,"[1, 2]"
1131,2322,111,222,[3]
1132,2031,112,201,[3]
1133,2332,11,22,"[3, 3]"
1133,2332,113,232,[3]
1133,3313,11,31,"[3, 3]"
1201,3002,121,302,[0]
1202,2103,2,3,"[0, 1, 2]"
1202,2103,02,03,"[1, 2]"
1202,2103,122,213,[0]
1203,3012,123,312,[0]
1212,2121,12,21,"[1, 2]"
1213,3032,121,302,[3]
1221,3102,12,30,"[1, 2]"
1221,3213,121,313,[2]
1222,2133,22,33,"[1, 2]"
1231,3122,1,2,"[1, 2, 3]"
1231,3122,13,32,"[1, 2]"
1233,3132,123,312,[3]
1301,3202,11,22,"[0, 3]"
1301,3202,101,202,[3]
1301,3202,131,322,[0]
1303,3212,103,212,[3]
1311,3222,111,222,[3]
1312,2301,112,201,[3]
1313,3131,13,31,"[1, 3]"
1313,3232,11,22,"[3, 3]"
1313,3232,113,232,[3]
1313,3232,131,322,[3]
1321,3302,121,302,[3]
1322,2313,2,3,"[1, 2, 3]"
1322,2313,122,213,[3]
1323,3312,123,312,[3]
1331,3322,11,22,"[3, 3]"
1331,3322,131,322,[3]
1332,2331,12,21,"[3, 3]"
1332,2331,132,231,[3]
1333,3332,1,2,"[3, 3, 3]"
1333,3332,13,32,"[3, 3]"
1333,3332,133,332,[3]
2002,3003,22,33,"[0, 0]"
2002,3003,202,303,[0]
2012,3021,2,3,"[0, 1, 2]"
2012,3021,212,321,[0]
2012,3021,20,30,"[1, 2]"
2022,3033,222,333,[0]
2103,3102,203,302,[1]
2122,3213,22,33,"[1, 2]"
2132,3231,2,3,"[1, 2, 3]"
2132,3231,212,321,[3]
2202,3303,222,333,[0]
2212,3321,22,33,"[1, 2]"
2323,3232,23,32,"[2, 3]"
2332,3313,22,31,"[3, 3]"
