22,121,2,11,[2]
23,12a,3,1a,[2]
33,132,3,12,[3]
33,231,3,21,[3]
44,143,4,13,[4]
44,242,4,22,[4]
44,341,4,31,[4]
45,148,5,18,[4]
45,24b,5,2b,[4]
45,34e,5,3e,[4]
46,14d,6,1d,[4]
55,154,5,14,[5]
55,253,5,23,[5]
55,352,5,32,[5]
55,451,5,41,[5]
66,165,6,15,[6]
66,264,6,24,[6]
66,363,6,33,[6]
66,462,6,42,[6]
66,561,6,51,[6]
67,36c,7,3c,[6]
69,16g,9,1g,[6]
77,176,7,16,[7]
77,275,7,25,[7]
77,374,7,34,[7]
77,473,7,43,[7]
77,572,7,52,[7]
77,671,7,61,[7]
86,181,6,11,[8]
87,184,7,14,[8]
87,281,7,21,[8]
88,187,8,17,[8]
88,286,8,26,[8]
88,385,8,35,[8]
88,484,8,44,[8]
88,583,8,53,[8]
88,682,8,62,[8]
88,781,8,71,[8]
89,18a,9,1a,[8]
89,28b,9,2b,[8]
89,38c,9,3c,[8]
89,48d,9,4d,[8]
89,58e,9,5e,[8]
89,68f,9,6f,[8]
89,78g,9,7g,[8]
8a,18d,a,1d,[8]
8a,28g,a,2g,[8]
8b,18g,b,1g,[8]
99,198,9,18,[9]
99,297,9,27,[9]
99,396,9,36,[9]
99,495,9,45,[9]
99,594,9,54,[9]
99,693,9,63,[9]
99,792,9,72,[9]
99,891,9,81,[9]
aa,1a9,a,19,[a]
aa,2a8,a,28,[a]
aa,3a7,a,37,[a]
aa,4a6,a,46,[a]
aa,5a5,a,55,[a]
aa,6a4,a,64,[a]
aa,7a3,a,73,[a]
aa,8a2,a,82,[a]
aa,9a1,a,91,[a]
ab,5ae,b,5e,[a]
bb,1ba,b,1a,[b]
bb,2b9,b,29,[b]
bb,3b8,b,38,[b]
bb,4b7,b,47,[b]
bb,5b6,b,56,[b]
bb,6b5,b,65,[b]
bb,7b4,b,74,[b]
bb,8b3,b,83,[b]
bb,9b2,b,92,[b]
bb,ab1,b,a1,[b]
c9,1c4,9,14,[c]
cb,3c4,b,34,[c]
cc,1cb,c,1b,[c]
cc,2ca,c,2a,[c]
cc,3c9,c,39,[c]
cc,4c8,c,48,[c]
cc,5c7,c,57,[c]
cc,6c6,c,66,[c]
cc,7c5,c,75,[c]
cc,8c4,c,84,[c]
cc,9c3,c,93,[c]
cc,ac2,c,a2,[c]
cc,bc1,c,b1,[c]
cd,3ce,d,3e,[c]
cd,6cf,d,6f,[c]
cd,9cg,d,9g,[c]
dd,1dc,d,1c,[d]
dd,2db,d,2b,[d]
dd,3da,d,3a,[d]
dd,4d9,d,49,[d]
dd,5d8,d,58,[d]
dd,6d7,d,67,[d]
dd,7d6,d,76,[d]
dd,8d5,d,85,[d]
dd,9d4,d,94,[d]
dd,ad3,d,a3,[d]
dd,bd2,d,b2,[d]
dd,cd1,d,c1,[d]
ee,1ed,e,1d,[e]
ee,2ec,e,2c,[e]
ee,3eb,e,3b,[e]
ee,4ea,e,4a,[e]
ee,5e9,e,59,[e]
ee,6e8,e,68,[e]
ee,7e7,e,77,[e]
ee,8e6,e,86,[e]
ee,9e5,e,95,[e]
ee,ae4,e,a4,[e]
ee,be3,e,b3,[e]
ee,ce2,e,c2,[e]
ee,de1,e,d1,[e]
ef,7eg,f,7g,[e]
ff,1fe,f,1e,[f]
ff,2fd,f,2d,[f]
ff,3fc,f,3c,[f]
ff,4fb,f,4b,[f]
ff,5fa,f,5a,[f]
ff,6f9,f,69,[f]
ff,7f8,f,78,[f]
ff,8f7,f,87,[f]
ff,9f6,f,96,[f]
ff,af5,f,a5,[f]
ff,bf4,f,b4,[f]
ff,cf3,f,c3,[f]
ff,df2,f,d2,[f]
ff,ef1,f,e1,[f]
g9,1g1,9,11,[g]
ga,1g3,a,13,[g]
gb,1g5,b,15,[g]
gc,1g7,c,17,[g]
gc,2g2,c,22,[g]
gd,1g9,d,19,[g]
gd,2g5,d,25,[g]
gd,3g1,d,31,[g]
ge,1gb,e,1b,[g]
ge,2g8,e,28,[g]
ge,3g5,e,35,[g]
ge,4g2,e,42,[g]
gf,1gd,f,1d,[g]
gf,2gb,f,2b,[g]
gf,3g9,f,39,[g]
gf,4g7,f,47,[g]
gf,5g5,f,55,[g]
gf,6g3,f,63,[g]
gf,7g1,f,71,[g]
gg,1gf,g,1f,[g]
gg,2ge,g,2e,[g]
gg,3gd,g,3d,[g]
gg,4gc,g,4c,[g]
gg,5gb,g,5b,[g]
gg,6ga,g,6a,[g]
gg,7g9,g,79,[g]
gg,8g8,g,88,[g]
gg,9g7,g,97,[g]
gg,ag6,g,a6,[g]
gg,bg5,g,b5,[g]
gg,cg4,g,c4,[g]
gg,dg3,g,d3,[g]
gg,eg2,g,e2,[g]
gg,fg1,g,f1,[g]
101,202,11,22,[0]
101,303,11,33,[0]
101,404,11,44,[0]
101,505,11,55,[0]
101,606,11,66,[0]
101,707,11,77,[0]
101,808,11,88,[0]
101,909,11,99,[0]
101,a0a,11,aa,[0]
101,b0b,11,bb,[0]
101,c0c,11,cc,[0]
101,d0d,11,dd,[0]
101,e0e,11,ee,[0]
101,f0f,11,ff,[0]
101,g0g,11,gg,[0]
102,204,12,24,[0]
102,306,12,36,[0]
102,408,12,48,[0]
102,50a,12,5a,[0]
102,60c,12,6c,[0]
102,70e,12,7e,[0]
102,80g,12,8g,[0]
103,206,13,26,[0]
103,309,13,39,[0]
103,40c,13,4c,[0]
103,50f,13,5f,[0]
104,208,14,28,[0]
104,30c,14,3c,[0]
104,40g,14,4g,[0]
105,20a,15,2a,[0]
105,30f,15,3f,[0]
106,20c,16,2c,[0]
107,20e,17,2e,[0]
108,20g,18,2g,[0]
111,210g,11,20g,[1]
111,310f,11,30f,[1]
111,410e,11,40e,[1]
111,510d,11,50d,[1]
111,610c,11,60c,[1]
111,710b,11,70b,[1]
111,810a,11,80a,[1]
111,9109,11,909,[1]
111,a108,11,a08,[1]
111,b107,11,b07,[1]
111,c106,11,c06,[1]
111,d105,11,d05,[1]
111,e104,11,e04,[1]
111,f103,11,f03,[1]
111,g102,11,g02,[1]
112,212f,12,22f,[1]
112,313d,12,33d,[1]
112,414b,12,44b,[1]
112,5159,12,559,[1]
112,6167,12,667,[1]
112,7175,12,775,[1]
112,8183,12,883,[1]
112,9191,12,991,[1]
112,a19g,12,a9g,[1]
112,b1ae,12,bae,[1]
112,c1bc,12,cbc,[1]
112,d1ca,12,dca,[1]
112,e1d8,12,ed8,[1]
112,f1e6,12,fe6,[1]
112,g1f4,12,gf4,[1]
113,214e,13,24e,[1]
113,316b,13,36b,[1]
113,4188,13,488,[1]
113,51a5,13,5a5,[1]
113,61c2,13,6c2,[1]
113,71dg,13,7dg,[1]
113,81fd,13,8fd,[1]
114,216d,14,26d,[1]
114,3199,14,399,[1]
114,41c5,14,4c5,[1]
114,51f1,14,5f1,[1]
115,218c,15,28c,[1]
115,31c7,15,3c7,[1]
115,41g2,15,4g2,[1]
116,171f,6,7f,"[1, 1]"
116,21ab,16,2ab,[1]
116,31f5,16,3f5,[1]
117,571,1,5,"[1, 7]"
117,1a15,7,a5,"[1, 1]"
117,21ca,17,2ca,[1]
118,21e9,18,2e9,[1]
119,1f1a,9,fa,"[1, 1]"
119,1g11,9,g1,"[1, 1]"
119,21g8,19,2g8,[1]
11d,5d41,1,54,"[1, d]"
11f,8f1,1,8,"[1, f]"
122,a21,12,a1,[2]
122,231f,2,3f,"[1, 2]"
123,a2a,13,aa,[2]
124,429,14,49,[2]
124,72e,14,7e,[2]
12e,5e2,1,5,"[2, e]"
12e,3e52,1,35,"[2, e]"
131,321b,1,2b,"[1, 3]"
132,231,12,21,[3]
134,3c18,4,c8,"[1, 3]"
135,31d,5,d,"[1, 3]"
135,1538,5,58,"[1, 3]"
135,3g19,5,g9,"[1, 3]"
137,183b,7,8b,"[1, 3]"
139,1d34,9,d4,"[1, 3]"
13a,1f3b,a,fb,"[1, 3]"
13a,1g32,a,g2,"[1, 3]"
143,242,13,22,[4]
143,341,13,31,[4]
144,643,14,63,[4]
144,b42,14,b2,[4]
144,g41,14,g1,[4]
145,648,15,68,[4]
145,b4b,15,bb,[4]
145,g4e,15,ge,[4]
146,64d,16,6d,[4]
147,174g,7,7g,"[1, 4]"
148,24b,18,2b,[4]
148,34e,18,3e,[4]
149,1b4e,9,be,"[1, 4]"
14c,1c64,1,16,"[4, c]"
14g,gd4,1,d,"[4, g]"
154,253,14,23,[5]
154,352,14,32,[5]
154,451,14,41,[5]
157,85g,17,8g,[5]
15b,2b5,1,2,"[5, b]"
15b,1f5c,b,fc,"[1, 5]"
15b,1g53,b,g3,"[1, 5]"
165,264,15,24,[6]
165,363,15,33,[6]
165,462,15,42,[6]
165,561,15,51,[6]
166,c63,16,c3,[6]
167,c6c,17,cc,[6]
16c,c96,1,9,"[6, c]"
171,715,1,5,"[1, 7]"
172,71a,2,a,"[1, 7]"
172,1179,2,19,"[1, 7]"
172,217g,2,2g,"[1, 7]"
172,7a1c,2,ac,"[1, 7]"
173,71f,3,f,"[1, 7]"
173,1277,3,27,"[1, 7]"
173,7g1d,3,gd,"[1, 7]"
175,1477,5,47,"[1, 7]"
176,275,16,25,[7]
176,374,16,34,[7]
176,473,16,43,[7]
176,572,16,52,[7]
176,671,16,61,[7]
176,1579,6,59,"[1, 7]"
179,197c,9,9c,"[1, 7]"
179,1a71,9,a1,"[1, 7]"
179,7519,1,51,"[7, 9]"
17b,1d7a,b,da,"[1, 7]"
17c,1f7d,c,fd,"[1, 7]"
17c,1g74,c,g4,"[1, 7]"
184,281,14,21,[8]
186,481,16,41,[8]
187,286,17,26,[8]
187,385,17,35,[8]
187,484,17,44,[8]
187,583,17,53,[8]
187,682,17,62,[8]
187,781,17,71,[8]
188,487,18,47,[8]
188,786,18,76,[8]
188,a85,18,a5,[8]
188,d84,18,d4,[8]
188,g83,18,g3,[8]
188,1282,18,122,[8]
188,1581,18,151,[8]
189,48a,19,4a,[8]
189,78b,19,7b,[8]
189,a8c,19,ac,[8]
189,d8d,19,dd,[8]
189,g8e,19,ge,[8]
189,128f,19,12f,[8]
189,158g,19,15g,[8]
18a,28b,1a,2b,[8]
18a,38c,1a,3c,[8]
18a,48d,1a,4d,[8]
18a,58e,1a,5e,[8]
18a,68f,1a,6f,[8]
18a,78g,1a,7g,[8]
18b,48g,1b,4g,[8]
18b,b7a8,1,7a,"[8, b]"
18d,28g,1d,2g,[8]
198,297,18,27,[9]
198,396,18,36,[9]
198,495,18,45,[9]
198,594,18,54,[9]
198,693,18,63,[9]
198,792,18,72,[9]
198,891,18,81,[9]
19d,1f9e,d,fe,"[1, 9]"
19d,1g95,d,g5,"[1, 9]"
1a2,31af,2,3f,"[1, a]"
1a9,2a8,19,28,[a]
1a9,3a7,19,37,[a]
1a9,4a6,19,46,[a]
1a9,5a5,19,55,[a]
1a9,6a4,19,64,[a]
1a9,7a3,19,73,[a]
1a9,8a2,19,82,[a]
1a9,9a1,19,91,[a]
1aa,ea5,1a,e5,[a]
1ab,eae,1b,ee,[a]
1b1,b61f,1,6f,"[1, b]"
1b6,14ba,6,4a,"[1, b]"
1b7,15ba,7,5a,"[1, b]"
1ba,2b9,1a,29,[b]
1ba,3b8,1a,38,[b]
1ba,4b7,1a,47,[b]
1ba,5b6,1a,56,[b]
1ba,6b5,1a,65,[b]
1ba,7b4,1a,74,[b]
1ba,8b3,1a,83,[b]
1ba,9b2,1a,92,[b]
1ba,ab1,1a,a1,[b]
1be,1fbf,e,ff,"[1, b]"
1be,1gb6,e,g6,"[1, b]"
1cb,2ca,1b,2a,[c]
1cb,3c9,1b,39,[c]
1cb,4c8,1b,48,[c]
1cb,5c7,1b,57,[c]
1cb,6c6,1b,66,[c]
1cb,7c5,1b,75,[c]
1cb,8c4,1b,84,[c]
1cb,9c3,1b,93,[c]
1cb,ac2,1b,a2,[c]
1cb,bc1,1b,b1,[c]
1cc,8c9,1c,89,[c]
1cc,fc6,1c,f6,[c]
1cc,15c3,1c,153,[c]
1cd,8ce,1d,8e,[c]
1cd,fcf,1d,ff,[c]
1cd,15cg,1d,15g,[c]
1d1,d71a,1,7a,"[1, d]"
1d2,51dd,2,5d,"[1, d]"
1dc,2db,1c,2b,[d]
1dc,3da,1c,3a,[d]
1dc,4d9,1c,49,[d]
1dc,5d8,1c,58,[d]
1dc,6d7,1c,67,[d]
1dc,7d6,1c,76,[d]
1dc,8d5,1c,85,[d]
1dc,9d4,1c,94,[d]
1dc,ad3,1c,a3,[d]
1dc,bd2,1c,b2,[d]
1dc,cd1,1c,c1,[d]
1df,1fdg,f,fg,"[1, d]"
1df,1gd7,f,g7,"[1, d]"
1ed,2ec,1d,2c,[e]
1ed,3eb,1d,3b,[e]
1ed,4ea,1d,4a,[e]
1ed,5e9,1d,59,[e]
1ed,6e8,1d,68,[e]
1ed,7e7,1d,77,[e]
1ed,8e6,1d,86,[e]
1ed,9e5,1d,95,[e]
1ed,ae4,1d,a4,[e]
1ed,be3,1d,b3,[e]
1ed,ce2,1d,c2,[e]
1ed,de1,1d,d1,[e]
1ee,ge7,1e,g7,[e]
1ef,geg,1f,gg,[e]
1f1,f18,1,8,"[1, f]"
1f2,f1g,2,g,"[1, f]"
1f2,11f3,2,13,"[1, f]"
1f2,21f4,2,24,"[1, f]"
1f2,31f5,2,35,"[1, f]"
1f2,41f6,2,46,"[1, f]"
1f2,51f7,2,57,"[1, f]"
1f2,61f8,2,68,"[1, f]"
1f2,71f9,2,79,"[1, f]"
1f2,81fa,2,8a,"[1, f]"
1f2,91fb,2,9b,"[1, f]"
1f2,a1fc,2,ac,"[1, f]"
1f2,b1fd,2,bd,"[1, f]"
1f2,c1fe,2,ce,"[1, f]"
1f2,d1ff,2,df,"[1, f]"
1f2,e1fg,2,eg,"[1, f]"
1f2,fg1f,2,gf,"[1, f]"
1f3,11fd,3,1d,"[1, f]"
1f4,12f8,4,28,"[1, f]"
1f5,13f4,5,34,"[1, f]"
