13,32,1,2,[3]
22,121,2,11,[2]
23,1232,3,132,[2]
33,132,3,12,[3]
33,231,3,21,[3]
101,202,11,22,[0]
101,303,11,33,[0]
101,11003,1,103,"[0, 1]"
101,21002,1,202,"[0, 1]"
101,31001,1,301,"[0, 1]"
102,1203,2,23,"[0, 1]"
102,13002,2,302,"[0, 1]"
103,1302,1,12,"[0, 3]"
103,23102,1,212,"[0, 3]"
111,2103,11,203,[1]
111,3102,11,302,[1]
111,10101,11,1001,[1]
112,313,12,33,[1]
112,2122,12,222,[1]
112,10132,12,1032,[1]
113,232,11,22,[3]
113,3212,1,22,"[1, 3]"
121,1023,1,03,"[1, 2]"
121,2112,1,12,"[1, 2]"
122,213,2,3,"[1, 2]"
122,1123,2,13,"[1, 2]"
122,2312,2,32,"[1, 2]"
122,11321,2,131,"[1, 2]"
122,23211,2,321,"[1, 2]"
123,13023,3,303,"[1, 2]"
123,13212,3,312,"[1, 2]"
131,322,11,22,[3]
132,231,12,21,[3]
132,1232,3,23,"[1, 2]"
132,12232,3,223,"[1, 2]"
132,21213,2,221,"[1, 3]"
133,332,1,2,"[3, 3]"
133,332,13,32,[3]
133,1131,13,111,[3]
133,2322,13,222,[3]
133,10312,13,1012,[3]
133,12302,13,1202,[3]
201,1002,21,102,[0]
201,1203,21,123,[0]
201,3012,21,312,[0]
201,11022,21,1122,[0]
201,13032,21,1332,[0]
202,303,22,33,[0]
202,10201,2,101,"[0, 2]"
202,12013,2,113,"[0, 2]"
202,22012,2,212,"[0, 2]"
202,32011,2,311,"[0, 2]"
203,1012,23,112,[0]
211,1022,1,02,"[1, 2]"
212,321,2,3,"[1, 2]"
212,22012,2,202,"[1, 2]"
213,1032,21,102,[3]
213,1123,3,13,"[1, 2]"
213,2312,3,32,"[1, 2]"
213,11321,3,131,"[1, 2]"
213,12012,13,1012,[2]
213,23211,3,321,"[1, 2]"
213,31122,1,112,"[2, 3]"
221,1102,2,10,"[1, 2]"
221,12122,21,1122,[2]
221,32012,21,3012,[2]
222,1221,2,11,"[2, 2]"
222,1221,22,121,[2]
222,3213,22,313,[2]
222,10212,22,1012,[2]
222,11211,22,1111,[2]
222,13203,22,1303,[2]
222,20202,22,2002,[2]
222,21201,22,2101,[2]
223,10231,23,1031,[2]
223,12232,3,132,"[2, 2]"
223,12232,23,1232,[2]
223,20233,23,2033,[2]
223,32302,2,230,"[2, 3]"
223,32302,23,3302,[2]
231,1122,3,12,"[1, 2]"
231,10323,2,032,"[1, 3]"
232,12013,2,101,"[2, 3]"
233,1132,23,112,[3]
233,2031,23,201,[3]
233,3223,2,22,"[3, 3]"
301,1202,31,122,[0]
301,2103,31,213,[0]
301,31001,1,101,"[0, 3]"
302,3201,2,21,"[0, 3]"
302,13002,2,102,"[0, 3]"
303,10302,3,102,"[0, 3]"
303,13023,3,123,"[0, 3]"
303,20301,3,201,"[0, 3]"
303,23022,3,222,"[0, 3]"
303,33021,3,321,"[0, 3]"
311,20102,31,2002,[1]
312,2013,32,203,[1]
313,1232,31,122,[3]
313,2122,33,222,[1]
