22,121,2,11,[2]
23,125,3,15,[2]
33,132,3,12,[3]
33,231,3,21,[3]
34,135,4,15,[3]
34,236,4,26,[3]
44,143,4,13,[4]
44,242,4,22,[4]
44,341,4,31,[4]
45,246,5,26,[4]
55,154,5,14,[5]
55,253,5,23,[5]
55,352,5,32,[5]
55,451,5,41,[5]
64,161,4,11,[6]
65,163,5,13,[6]
65,261,5,21,[6]
66,165,6,15,[6]
66,264,6,24,[6]
66,363,6,33,[6]
66,462,6,42,[6]
66,561,6,51,[6]
101,202,11,22,[0]
101,303,11,33,[0]
101,404,11,44,[0]
101,505,11,55,[0]
101,606,11,66,[0]
101,11006,1,106,"[0, 1]"
101,21005,1,205,"[0, 1]"
101,31004,1,304,"[0, 1]"
101,41003,1,403,"[0, 1]"
101,51002,1,502,"[0, 1]"
101,61001,1,601,"[0, 1]"
102,204,12,24,[0]
102,306,12,36,[0]
102,12033,2,233,"[0, 1]"
103,206,13,26,[0]
103,14032,3,432,"[0, 1]"
104,16064,4,664,"[0, 1]"
111,2106,11,206,[1]
111,3105,11,305,[1]
111,4104,11,404,[1]
111,5103,11,503,[1]
111,6102,11,602,[1]
111,10101,11,1001,[1]
112,2125,12,225,[1]
112,3133,12,333,[1]
112,4141,12,441,[1]
112,5146,12,546,[1]
112,6154,12,654,[1]
112,10162,12,1062,[1]
113,2144,13,244,[1]
113,3161,13,361,[1]
114,1515,4,55,"[1, 1]"
114,1611,4,61,"[1, 1]"
114,2163,14,263,[1]
114,16014,4,604,"[1, 1]"
115,351,1,3,"[1, 5]"
115,1531,1,13,"[1, 5]"
115,25131,1,213,"[1, 5]"
122,521,12,51,[2]
122,2315,2,35,"[1, 2]"
122,11623,2,163,"[1, 2]"
123,215,3,5,"[1, 2]"
123,324,13,34,[2]
123,525,13,55,[2]
123,1026,13,106,[2]
123,1322,3,32,"[1, 2]"
123,2613,3,63,"[1, 2]"
123,13125,3,315,"[1, 2]"
123,26314,3,634,"[1, 2]"
124,1521,4,51,"[1, 2]"
124,14626,4,466,"[1, 2]"
131,3212,1,22,"[1, 3]"
132,231,12,21,[3]
132,35013,2,503,"[1, 3]"
133,432,13,42,[3]
133,1031,13,101,[3]
133,12535,3,255,"[1, 3]"
134,435,14,45,[3]
134,1036,14,106,[3]
134,14135,4,415,"[1, 3]"
135,236,15,26,[3]
135,1536,5,56,"[1, 3]"
135,1632,5,62,"[1, 3]"
135,16035,5,605,"[1, 3]"
135,16131,5,611,"[1, 3]"
135,32115,1,211,"[3, 5]"
136,3216,1,21,"[3, 6]"
141,4215,1,25,"[1, 4]"
142,11344,2,134,"[1, 4]"
143,242,13,22,[4]
143,341,13,31,[4]
144,642,14,62,[4]
145,646,15,66,[4]
151,513,1,3,"[1, 5]"
151,5311,1,31,"[1, 5]"
151,10453,1,043,"[1, 5]"
152,516,2,6,"[1, 5]"
152,1153,2,13,"[1, 5]"
152,2154,2,24,"[1, 5]"
152,3155,2,35,"[1, 5]"
152,4156,2,46,"[1, 5]"
152,5615,2,65,"[1, 5]"
152,11254,2,124,"[1, 5]"
152,21355,2,235,"[1, 5]"
152,31456,2,346,"[1, 5]"
152,41651,2,461,"[1, 5]"
152,56514,2,654,"[1, 5]"
154,253,14,23,[5]
154,352,14,32,[5]
154,451,14,41,[5]
154,1353,4,33,"[1, 5]"
154,4235,1,23,"[4, 5]"
154,13156,4,316,"[1, 5]"
154,13251,4,321,"[1, 5]"
155,14451,5,441,"[1, 5]"
156,1653,6,63,"[1, 5]"
156,16056,6,606,"[1, 5]"
156,16152,6,612,"[1, 5]"
162,41361,2,431,"[1, 6]"
163,261,13,21,[6]
164,361,14,31,[6]
165,264,15,24,[6]
165,363,15,33,[6]
165,462,15,42,[6]
165,561,15,51,[6]
166,365,16,35,[6]
166,564,16,54,[6]
166,1063,16,103,[6]
166,1262,16,122,[6]
166,1461,16,141,[6]
201,402,21,42,[0]
201,603,21,63,[0]
201,1104,21,114,[0]
201,1305,21,135,[0]
201,1506,21,156,[0]
201,21003,1,103,"[0, 2]"
202,303,22,33,[0]
202,404,22,44,[0]
202,505,22,55,[0]
202,606,22,66,[0]
202,10201,2,101,"[0, 2]"
202,12016,2,116,"[0, 2]"
202,22015,2,215,"[0, 2]"
202,32014,2,314,"[0, 2]"
202,42013,2,413,"[0, 2]"
202,52012,2,512,"[0, 2]"
202,62011,2,611,"[0, 2]"
203,406,23,46,[0]
203,10235,3,135,"[0, 2]"
203,12062,3,162,"[0, 2]"
203,23036,3,336,"[0, 2]"
204,306,24,36,[0]
204,24066,4,466,"[0, 2]"
204,25014,4,514,"[0, 2]"
205,26056,5,656,"[0, 2]"
213,23214,3,324,"[1, 2]"
214,24515,4,455,"[1, 2]"
215,651,2,6,"[1, 5]"
215,1322,5,32,"[1, 2]"
215,2613,5,63,"[1, 2]"
215,13125,5,315,"[1, 2]"
215,26314,5,634,"[1, 2]"
216,1203,16,103,[2]
216,1422,6,42,"[1, 2]"
221,1214,21,114,[2]
221,3203,21,303,[2]
222,1221,2,11,"[2, 2]"
222,1221,22,121,[2]
222,3216,22,316,[2]
222,4215,22,415,[2]
222,5214,22,514,[2]
222,6213,22,613,[2]
222,10212,22,1012,[2]
222,11211,22,1111,[2]
222,13206,22,1306,[2]
222,14205,22,1405,[2]
222,15204,22,1504,[2]
222,16203,22,1603,[2]
222,20202,22,2002,[2]
222,21201,22,2101,[2]
223,1225,3,15,"[2, 2]"
223,1225,23,125,[2]
223,3232,23,332,[2]
223,4234,23,434,[2]
223,5236,23,536,[2]
223,6241,23,641,[2]
223,10243,23,1043,[2]
223,11245,23,1145,[2]
223,13252,23,1352,[2]
223,14254,23,1454,[2]
223,15256,23,1556,[2]
223,16261,23,1661,[2]
223,20263,23,2063,[2]
223,21265,23,2165,[2]
224,1232,24,132,[2]
224,2423,4,43,"[2, 2]"
224,3245,24,345,[2]
224,4253,24,453,[2]
224,5261,24,561,[2]
224,6266,24,666,[2]
224,34012,2,301,"[2, 4]"
225,1236,25,136,[2]
225,3261,25,361,[2]
226,1243,26,143,[2]
226,2632,2,23,"[2, 6]"
231,1254,31,154,[2]
232,1261,32,161,[2]
233,1032,23,102,[3]
233,1265,33,165,[2]
233,1531,23,151,[3]
234,1035,24,105,[3]
234,1536,24,156,[3]
241,20545,1,055,"[2, 4]"
241,41423,1,143,"[2, 4]"
241,43321,2,332,"[1, 4]"
242,341,22,31,[4]
242,2145,2,15,"[2, 4]"
242,4323,2,33,"[2, 4]"
242,14124,2,114,"[2, 4]"
243,425,3,5,"[2, 4]"
243,1244,3,14,"[2, 4]"
243,1426,3,16,"[2, 4]"
243,2245,3,25,"[2, 4]"
243,3246,3,36,"[2, 4]"
243,4523,3,53,"[2, 4]"
243,12346,3,136,"[2, 4]"
243,14624,3,164,"[2, 4]"
243,22541,3,251,"[2, 4]"
243,32642,3,362,"[2, 4]"
243,45321,3,531,"[2, 4]"
244,643,24,63,[4]
244,1342,24,132,[4]
244,2041,24,201,[4]
244,23546,4,356,"[2, 4]"
245,1346,25,136,[4]
245,25045,5,505,"[2, 4]"
246,2644,6,64,"[2, 4]"
246,26345,6,635,"[2, 4]"
251,1521,2,12,"[1, 5]"
252,15126,2,116,"[2, 5]"
253,352,23,32,[5]
253,451,23,41,[5]
262,2164,2,14,"[2, 6]"
262,6424,2,44,"[2, 6]"
263,5264,3,54,"[2, 6]"
